display_name,component_name,topic_name,url
q_py_list_remove1,Attribute,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_remove1&act=q_py_topic_lists&sub=q_py_list_remove1
q_py_list_remove1,List,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_remove1&act=q_py_topic_lists&sub=q_py_list_remove1
q_py_list_remove1,Call,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_remove1&act=q_py_topic_lists&sub=q_py_list_remove1
q_py_list_remove1,USub,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_remove1&act=q_py_topic_lists&sub=q_py_list_remove1
q_py_list_remove1,Assign,Lists,http://adapt2.sis.pitt.edu/quizpet/displayQuiz.jsp?rdfID=q_py_list_remove1&act=q_py_topic_lists&sub=q_py_list_remove1
ae_python_list,List,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,arg,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Call,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,FunctionDef,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Assign,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Str,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Attribute,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,If,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Return,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Index,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Gt,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,Int,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_list,For,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_list
ae_python_split,Index,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Attribute,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Add,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,For,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Gt,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Call,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,FunctionDef,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Assign,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Str,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,If,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
ae_python_split,Int,Lists,http://acos.cs.hut.fi/pitt/jsvee/jsvee-python/ae?example-id=ae_python_split
py_concat_str_num,Int,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_str_num,Add,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_str_num,Call,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_str_num,Str,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_str_num,Assign,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_str_num,Mult,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_str_num
py_concat_char_two_str,Slice,strings,http://pawscomp2.sis.pitt.edu/pcex/index.html?lang=PYTHON&set=py_concat_char_two_str
